species.stage	N	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	sd
C. inopinata Dauer	176	18	23	25	26	27	44	4
C. elegans Dauer	214	9	17	20	20	22	31	4
C. briggsae Dauer	85	12	15	17	17	19	26	3
C. tropicalis Dauer	93	12	17	18	19	21	31	3
C. elegans L1	40	11	14	16	16	16	21	2
C. elegans L2	40	18	22	24	23	24	28	2
C. elegans L3	86	20	25	28	28	31	39	4
C. elegans L4	41	37	41	44	44	48	56	5
C. elegans Young adult	30	37	46	50	51	54	65	6
C. elegans Gravid adult	40	48	59	66	65	71	82	8
C. inopinata L1	20	14	16	17	17	18	20	2
C. inopinata L2	22	17	19	22	23	25	35	5
C. inopinata L3	138	19	27	30	31	33	44	5
C. inopinata L4	33	33	42	46	45	48	52	5
C. inopinata Young adult	16	39	50	54	55	60	67	8
C. inopinata Gravid adult	32	59	65	70	69	73	88	6
